date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2009-01-02 | 1
2008-12-31 | 1
2011-01-03 | 0
2011-01-03 | 1000
2011-01-03 | 1000.1
2011-01-03 | -0.5
2012-13-01 | 5
2012-01-45 | 5
banane | 5
2011-01-03 | abc
2011-01-03 | 12abc
2011-01-03 |
   2011-01-03    |    2
2011-1-3 | 5
2011-01-03 | nan
2011-01-03 | NaN
2011-01-03 | inf
2011-01-03 | -inf
2011-01-03 | infinity
